Premis Cd,Premis Desc.
412.0,"ELECTRONICS STORE (IE:RADIO SHACK, ETC.)"
413.0,FURNITURE STORE
414.0,BOOK STORE
415.0,THE GROVE
416.0,THE BEVERLY CENTER
417.0,THE BEVERLY CONNECTION
418.0,
501.0,SINGLE FAMILY DWELLING
502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
503.0,HOTEL
504.0,OTHER RESIDENCE
505.0,MOTEL
506.0,ABANDONED BUILDING ABANDONED HOUSE
507.0,CONDOMINIUM/TOWNHOUSE
508.0,FRAT HOUSE/SORORITY/DORMITORY
509.0,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME
510.0,NURSING/CONVALESCENT/RETIREMENT HOME
511.0,PROJECT/TENEMENT/PUBLIC HOUSING
512.0,FOSTER HOME BOYS OR GIRLS*
513.0,ABATEMENT LOCATION
514.0,GROUP HOME
515.0,APARTMENT/CONDO COMMON LAUNDRY ROOM
516.0,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS
517.0,MISSIONS/SHELTERS
518.0,TRANSITIONAL HOUSING/HALFWAY HOUSE
519.0,SHORT-TERM VACATION RENTAL
601.0,SAVINGS & LOAN
602.0,BANK
603.0,CREDIT UNION
604.0,FINANCE COMPANY
605.0,AUTOMATED TELLER MACHINE (ATM)
606.0,DRIVE THRU BANKING (WINDOW)*
607.0,BANKING INSIDE MARKET-STORE *
608.0,BANK DROP BOX/MONEY DROP-OUTSIDE OF BANK*
701.0,HOSPITAL
702.0,OFFICE BUILDING/OFFICE
703.0,ENTERTAINMENT/COMEDY CLUB (OTHER)
704.0,ELEMENTARY SCHOOL
705.0,SLIPS/DOCK/MARINA/BOAT
706.0,SEX ORIENTED/BOOK STORE/STRIP CLUB/GENTLEMAN'S CLUB
707.0,GARAGE/CARPORT
708.0,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE)
709.0,PUBLIC RESTROOM(INDOORS-INSIDE)
710.0,OTHER PREMISE
711.0,"ARCADE,GAME ROOM/VIDEO GAMES (EXAMPLE CHUCKIE CHEESE)*"
712.0,COLISEUM
713.0,CONVENTION CENTER
714.0,DODGER STADIUM
715.0,HORSE RACING/SANTA ANITA PARK*
716.0,THEATRE/MOVIE
717.0,HEALTH SPA/GYM
718.0,MASSAGE PARLOR
719.0,MEDICAL/DENTAL OFFICES
720.0,JUNIOR HIGH SCHOOL
721.0,HIGH SCHOOL
722.0,COLLEGE/JUNIOR COLLEGE/UNIVERSITY
723.0,PRIVATE SCHOOL/PRESCHOOL
724.0,TRADE SCHOOL (MEDICAL-TECHNICAL-BUSINESS)*
725.0,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)"
726.0,POLICE FACILITY
727.0,SHOPPING MALL (COMMON AREA)
728.0,ELEVATOR
729.0,SPECIALTY SCHOOL/OTHER
730.0,SYNAGOGUE/TEMPLE
731.0,MOSQUE*
732.0,POST OFFICE
733.0,BAR/SPORTS BAR (OPEN DAY & NIGHT)
734.0,HOCKEY RINK/ICE HOCKEY
735.0,NIGHT CLUB (OPEN EVENINGS ONLY)
736.0,SKATEBOARD FACILITY/SKATEBOARD PARK*
737.0,SKATING RINK*
738.0,LIBRARY
739.0,SPORTS ARENA
740.0,OTHER PLACE OF WORSHIP
741.0,STAPLES CENTER *
742.0,"SPORTS VENUE, OTHER"
743.0,MASS GATHERING LOCATION
744.0,HIGH-RISE BUILDING
745.0,WATER FACILITY
746.0,SEWAGE FACILITY/PIPE
748.0,CULTURAL SIGNIFICANCE/MONUMENT
750.0,CYBERSPACE
751.0,WEBSITE
752.0,FIRE STATION
753.0,DETENTION/JAIL FACILITY
754.0,MUSEUM
755.0,VETERINARIAN/ANIMAL HOSPITAL
756.0,MUSCLE BEACH
757.0,BASKETBALL COURTS
758.0,HANDBALL COURTS
801.0,MTA BUS
802.0,MUNICIPAL BUS LINE INCLUDES LADOT/DASH
803.0,RETIRED (DUPLICATE) DO NOT USE THIS CODE
804.0,GREYHOUND OR INTERSTATE BUS
805.0,RETIRED (DUPLICATE) DO NOT USE THIS CODE
809.0,METROLINK TRAIN
810.0,AMTRAK TRAIN
811.0,"OTHER RR TRAIN (UNION PAC, SANTE FE ETC"
834.0,LA UNION STATION (NOT LINE SPECIFIC)
835.0,7TH AND METRO CENTER (NOT LINE SPECIFIC)
836.0,HARBOR FRWY STATION (NOT LINE SPECIFIC)
868.0,MTA - ORANGE LINE - NORTH HOLLYWOOD
869.0,MTA - ORANGE LINE - LAUREL CANYON
870.0,MTA - ORANGE LINE - VALLEY COLLEGE
871.0,MTA - ORANGE LINE - WOODMAN
872.0,MTA - ORANGE LINE - VAN NUYS
873.0,MTA - ORANGE LINE - SEPULVEDA
874.0,MTA - ORANGE LINE - WOODLEY
875.0,MTA - ORANGE LINE - BALBOA
876.0,MTA - ORANGE LINE - RESEDA
877.0,MTA - ORANGE LINE - TAMPA
878.0,MTA - ORANGE LINE - PIERCE COLLEGE
879.0,MTA - ORANGE LINE - DE SOTO
880.0,MTA - ORANGE LINE - CANOGA
882.0,MTA - ORANGE LINE - SHERMAN WAY
883.0,MTA - ORANGE LINE - ROSCOE
884.0,MTA - ORANGE LINE - NORDHOFF
885.0,MTA - ORANGE LINE - CHATSWORTH
889.0,MTA - SILVER LINE - LAC/USC MEDICAL CENTER
890.0,MTA - SILVER LINE - UNION STATION
891.0,MTA - SILVER LINE - DOWNTOWN STREET STOPS
892.0,MTA - SILVER LINE - 37TH ST/USC
893.0,MTA - SILVER LINE - SLAUSON
894.0,MTA - SILVER LINE - MANCHESTER
895.0,MTA - SILVER LINE - HARBOR FWY
896.0,MTA - SILVER LINE - ROSECRANS
897.0,MTA - SILVER LINE - HARBOR GATEWAY TRANSIT CTR
898.0,MTA - SILVER LINE - PACIFIC COAST HWY
900.0,MTA - RED LINE - UNION STATION
901.0,MTA - RED LINE - CIVIC CENTER/GRAND PARK
902.0,MTA - RED LINE - PERSHING SQUARE
903.0,MTA - RED LINE - 7TH AND METRO CENTER
904.0,MTA - RED LINE - WESTLAKE/MACARTHUR PARK
905.0,MTA - RED LINE - WILSHIRE/VERMONT
906.0,MTA - RED LINE - VERMONT/BEVERLY
907.0,MTA - RED LINE - VERMONT/SANTA MONICA
908.0,MTA - RED LINE - VERMONT/SUNSET
909.0,MTA - RED LINE - HOLLYWOOD/WESTERN
910.0,MTA - RED LINE - HOLLYWOOD/VINE
911.0,MTA - RED LINE - HOLLYWOOD/HIGHLAND
912.0,MTA - RED LINE - UNIVERSAL CITY/STUDIO CITY
913.0,MTA - RED LINE - NORTH HOLLYWOOD
915.0,MTA - PURPLE LINE - UNION STATION
916.0,MTA - PURPLE LINE - CIVIC CENTER/GRAND PARK
917.0,MTA - PURPLE LINE - PERSHING SQUARE
918.0,MTA - PURPLE LINE - 7TH AND METRO CENTER
919.0,MTA - PURPLE LINE - WESTLAKE/MACARTHUR PARK
920.0,MTA - PURPLE LINE - WILSHIRE/VERMONT
921.0,MTA - PURPLE LINE - WILSHIRE/NORMANDIE
922.0,MTA - PURPLE LINE - WILSHIRE/WESTERN
931.0,MTA - BLUE LINE - 7TH AND METRO CENTER
932.0,MTA - BLUE LINE - PICO
933.0,MTA - BLUE LINE - GRAND/LATTC
934.0,MTA - BLUE LINE - SAN PEDRO
935.0,MTA - BLUE LINE - WASHINGTON
936.0,MTA - BLUE LINE - VERNON
937.0,MTA - BLUE LINE - 103RD/WATTS TOWERS
940.0,MTA - EXPO LINE - 7TH AND METRO CENTER
941.0,MTA - EXPO LINE - PICO
942.0,MTA - EXPO LINE - LATTC/ORTHO INSTITUTE
943.0,MTA - EXPO LINE - JEFFERSON/USC
944.0,MTA - EXPO LINE - EXPO PARK/USC
945.0,MTA - EXPO LINE - EXPO/VERMONT
946.0,MTA - EXPO LINE - EXPO/WESTERN
947.0,MTA - EXPO LINE - EXPO/CRENSHAW
948.0,MTA - EXPO LINE - FARMDALE
949.0,MTA - EXPO LINE - EXPO/LA BREA
950.0,MTA - EXPO LINE - LA CIENEGA/JEFFERSON
951.0,MTA - EXPO LINE - PALMS
952.0,MTA - EXPO LINE - WESTWOOD/RANCHO PARK
953.0,MTA - EXPO LINE - EXPO/SEPULVEDA
954.0,MTA - EXPO LINE - EXPO/BUNDY
956.0,MTA - GREEN LINE - AVALON
957.0,MTA - GREEN LINE - HARBOR FWY
958.0,MTA - GREEN LINE - AVIATION/LAX
961.0,MTA - GOLD LINE - INDIANA
962.0,MTA - GOLD LINE - SOTO
963.0,MTA - GOLD LINE - MARIACHI PLAZA
964.0,MTA - GOLD LINE - PICO/ALISO
965.0,MTA - GOLD LINE - LITTLE TOKYO/ARTS DISTRICT
966.0,MTA - GOLD LINE - UNION STATION
967.0,MTA - GOLD LINE - CHINATOWN
968.0,MTA - GOLD LINE - LINCOLN/CYPRESS
969.0,MTA - GOLD LINE - HERITAGE SQ
970.0,MTA - GOLD LINE - SOUTHWEST MUSEUM
971.0,MTA - GOLD LINE - HIGHLAND PARK
972.0,
973.0,
974.0,
975.0,
976.0,
,
